common,bioconda,biotools
BIOCONDUCTOR-GENEPLOTTER,bioconductor-geneplotter,geneplotter
CUTADAPT,cutadapt,cutadapt
BIOCONDUCTOR-METAGENOMESEQ,bioconductor-metagenomeseq,metagenomeseq
BUSCO,busco,busco
SORTMERNA,sortmerna,sortmerna
BIOCONDUCTOR-STREAMER,bioconductor-streamer,streamer
BIOCONDUCTOR-GLOBALSEQ,bioconductor-globalseq,globalseq
BIOCONDUCTOR-XVECTOR,bioconductor-xvector,xvector
SKEWER,skewer,skewer
MERLIN,merlin,Merlin
EDENA,edena,edena
BIOCONDUCTOR-ROTS,bioconductor-rots,rots
BIOCONDUCTOR-PATHVIEW,bioconductor-pathview,pathview
BIOCONDUCTOR-AMOUNTAIN,bioconductor-amountain,amountain
BIOCONDUCTOR-RLMM,bioconductor-rlmm,rlmm
MAPSPLICE,mapsplice,mapsplice
BIOCONDUCTOR-FLOWCL,bioconductor-flowcl,flowcl
WHATSHAP,whatshap,whatshap
BIOCONDUCTOR-OLIGOCLASSES,bioconductor-oligoclasses,oligoclasses
DEEPTOOLS,deeptools,deeptools
STRINGTIE,stringtie,StringTie
BIOCONDUCTOR-DEGSEQ,bioconductor-degseq,degseq
PROKKA,prokka,prokka
BIOCONDUCTOR-EDGER,bioconductor-edger,edger
BEAGLE,beagle,BEAGLE
BIOCONDUCTOR-METAHDEP,bioconductor-metahdep,metahdep
BIOCONDUCTOR-DADA2,bioconductor-dada2,dada2
SHAPEIT,shapeit,SHAPEIT
BIOCONDUCTOR-SQUADD,bioconductor-squadd,squadd
BIOCONDUCTOR-NUCLER,bioconductor-nucler,nucler
ASCAT,ascat,ascat
GMAP,gmap,gmap
PYSAMSTATS,pysamstats,pysamstats
BIOCONDUCTOR-SEQTOOLS,bioconductor-seqtools,seqtools
MLGT,r-mlgt,mlgt
AREM,arem,arem
READSEQ,rdp-readseq,readseq
BIOCONDUCTOR-HILBERTVIS,bioconductor-hilbertvis,hilbertvis
EAGLE,eagle,Eagle
METASEQ,metaseq,metaseq
TRIMAL,trimal,trimAl
BIOCONDUCTOR-CEXOR,bioconductor-cexor,cexor
MONOVAR,monovar,Monovar
BOWTIE2,bowtie2,bowtie2
BIOCONDUCTOR-MBTTEST,bioconductor-mbttest,mbttest
BIOCONDUCTOR-SUMMARIZEDEXPERIMENT,bioconductor-summarizedexperiment,summarizedexperiment
BIOCONDUCTOR-TARGETSCORE,bioconductor-targetscore,targetscore
CHROMHMM,chromhmm,chromhmm
BIOCONDUCTOR-CLUSTERPROFILER,bioconductor-clusterprofiler,clusterprofiler
BIOCONDUCTOR-PSICQUIC,bioconductor-psicquic,psicquic
BIOCONDUCTOR-PICKGENE,bioconductor-pickgene,pickgene
BIOCONDUCTOR-RANDPACK,bioconductor-randpack,randpack
BIOCONDUCTOR-MZID,bioconductor-mzid,mzid
BIOCONDUCTOR-CAGER,bioconductor-cager,cager
SEQCLUSTER,seqcluster,seqcluster
BIOCONDUCTOR-RSVSIM,bioconductor-rsvsim,rsvsim
BIOCONDUCTOR-FLOWAI,bioconductor-flowai,flowai
WEBLOGO,python-weblogo,weblogo
BIOCONDUCTOR-BGMIX,bioconductor-bgmix,bgmix
BIOCONDUCTOR-METHYLUMI,bioconductor-methylumi,methylumi
BIOCONDUCTOR-OSAT,bioconductor-osat,osat
BIOCONDUCTOR-QPCRNORM,bioconductor-qpcrnorm,qpcrnorm
BIOCONDUCTOR-BGAFUN,bioconductor-bgafun,bgafun
STRELKA,strelka,strelka
BIOCONDUCTOR-CGHREGIONS,bioconductor-cghregions,cghregions
GIMMEMOTIFS,gimmemotifs,gimmemotifs
ANDI,andi,andi
NEWT,newt,newt
BIOCONDUCTOR-COMPLEXHEATMAP,bioconductor-complexheatmap,complexheatmap
MREPS,mreps,mreps
BIOCONDUCTOR-RIBOPROFILING,bioconductor-riboprofiling,riboprofiling
BIOCONDUCTOR-SPLICEGEAR,bioconductor-splicegear,splicegear
STRIDE,stride,stride
PHYLIP,phylip,PHYLIP
BIOCONDUCTOR-RDGIDB,bioconductor-rdgidb,rdgidb
BIOCONDUCTOR-RGRAPHVIZ,bioconductor-rgraphviz,rgraphviz
FPC,r-fpc,FPC
BIOCONDUCTOR-ADSPLIT,bioconductor-adsplit,adsplit
BIOCONDUCTOR-MVCCLASS,bioconductor-mvcclass,mvcclass
BIOCONDUCTOR-MONOCLE,bioconductor-monocle,monocle
QUAST,quast,quast
QUALIMAP,qualimap,qualimap
CLUSTALW,clustalw,clustalw
BIOCONDUCTOR-AFFXPARSER,bioconductor-affxparser,affxparser
BIOCONDUCTOR-RTOPPER,bioconductor-rtopper,rtopper
BIOCONDUCTOR-MACORRPLOT,bioconductor-macorrplot,macorrplot
BIOCONDUCTOR-RCYTOSCAPE,bioconductor-rcytoscape,rcytoscape
IPC,perl-ipc-system-simple,ipc
BIOCONDUCTOR-TXIMPORT,bioconductor-tximport,tximport
BIOCONDUCTOR-SCRAN,bioconductor-scran,scran
FRAGGENESCAN,fraggenescan,fraggenescan
BIOCONDUCTOR-CHIPCOMP,bioconductor-chipcomp,chipcomp
BIOMAJ,biomaj,biomaj
BIOCONDUCTOR-RGALAXY,bioconductor-rgalaxy,rgalaxy
BIOCONDUCTOR-STARR,bioconductor-starr,starr
BIOCONDUCTOR-METHYLSEEKR,bioconductor-methylseekr,methylseekr
BIOCONDUCTOR-SCATER,bioconductor-scater,scater
FILTER,perl-filter-simple,filter
STRING,perl-string-util,string
BIOCONDUCTOR-MULTISCAN,bioconductor-multiscan,multiscan
BIOCONDUCTOR-A4PREPROC,bioconductor-a4preproc,a4preproc
MOODS,moods,MOODS
BIOCONDUCTOR-METAMS,bioconductor-metams,metams
PERCOLATOR,percolator,percolator
INTERMINE,intermine,intermine
BIOCONDUCTOR-ANOTA,bioconductor-anota,anota
GEMINI,gemini,GEMINI
PEAR,pear,PEAR
RNALIEN,rnalien,RNAlien
BIOCONDUCTOR-MEDIPS,bioconductor-medips,medips
BIOCONDUCTOR-PLGEM,bioconductor-plgem,plgem
BIOCONDUCTOR-OGSA,bioconductor-ogsa,ogsa
BIOCONDUCTOR-RGADEM,bioconductor-rgadem,rgadem
GRAPH,perl-graph-readwrite,graph
RAY,ray,ray
BIOCONDUCTOR-SYNERGYFINDER,bioconductor-synergyfinder,synergyfinder
BIOCONDUCTOR-MICRORNA,bioconductor-microrna,microrna
BIOCONDUCTOR-RTRM,bioconductor-rtrm,rtrm
BIOCONDUCTOR-VARIANTANNOTATION,bioconductor-variantannotation,variantannotation
VELVETOPTIMISER,perl-velvetoptimiser,velvetoptimiser
BIOCONDUCTOR-ISOMIRS,bioconductor-isomirs,isomirs
BIOCONDUCTOR-OPPAR,bioconductor-oppar,oppar
BIOCONDUCTOR-ACME,bioconductor-acme,acme
BIOCONDUCTOR-SNPSTATS,bioconductor-snpstats,snpstats
GATK,gatk,gatk
TREEMIX,treemix,TreeMix
ASTALAVISTA,astalavista,astalavista
BIOCONDUCTOR-BAYESPEAK,bioconductor-bayespeak,bayespeak
BIOCONDUCTOR-SSCORE,bioconductor-sscore,sscore
BIOCONDUCTOR-SPIA,bioconductor-spia,spia
BIOCONDUCTOR-BACON,bioconductor-bacon,bacon
INFORNA,inforna,inforna
BIOCONDUCTOR-ROPLS,bioconductor-ropls,ropls
BIOCONDUCTOR-RTCGATOOLBOX,bioconductor-rtcgatoolbox,rtcgatoolbox
BCFTOOLS,bcftools,bcftools
VARSCAN,varscan,varscan
BIOCONDUCTOR-HEATPLUS,bioconductor-heatplus,heatplus
BIOCONDUCTOR-ROLESWITCH,bioconductor-roleswitch,roleswitch
BIOCONDUCTOR-REPITOOLS,bioconductor-repitools,repitools
KRAKEN,kraken,kraken
BIOCONDUCTOR-BAYSEQ,bioconductor-bayseq,bayseq
BIOCONDUCTOR-HPAR,bioconductor-hpar,hpar
BIOCONDUCTOR-READQPCR,bioconductor-readqpcr,readqpcr
CNOGPRO,r-cnogpro,cnogpro
BIOCONDUCTOR-RRHO,bioconductor-rrho,rrho
PEPNOVO,pepnovo,pepnovo
JBROWSE,jbrowse,jbrowse
SICKLE,sickle,sickle
BIOCONDUCTOR-RNAPROBR,bioconductor-rnaprobr,rnaprobr
SEGEMEHL,segemehl,segemehl
BIOCONDUCTOR-SIGPATHWAY,bioconductor-sigpathway,sigpathway
BIOCONDUCTOR-QUANTSMOOTH,bioconductor-quantsmooth,quantsmooth
BIOCONDUCTOR-MDQC,bioconductor-mdqc,mdqc
BIOCONDUCTOR-BIOSIGNER,bioconductor-biosigner,biosigner
SNIPPY,snippy,snippy
BIOCONDUCTOR-GENOMICFEATURES,bioconductor-genomicfeatures,genomicfeatures
BIOCONDUCTOR-MAANOVA,bioconductor-maanova,maanova
BIOCONDUCTOR-VIPER,bioconductor-viper,viper
BIOCONDUCTOR-ZLIBBIOC,bioconductor-zlibbioc,zlibbioc
LOCARNA,locarna,locarna
BIOCONDUCTOR-SPLOTS,bioconductor-splots,splots
TRIMMOMATIC,trimmomatic,trimmomatic
BIOCONDUCTOR-XDE,bioconductor-xde,xde
KMERGENIE,kmergenie,kmergenie
BIOCONDUCTOR-ASEB,bioconductor-aseb,aseb
SHORAH,shorah,shorah
BIOCONDUCTOR-PEPSTAT,bioconductor-pepstat,pepstat
BIOCONDUCTOR-ANNOTATIONFORGE,bioconductor-annotationforge,annotationforge
BIOCONDUCTOR-MBASED,bioconductor-mbased,mbased
BIOCONDUCTOR-PICS,bioconductor-pics,pics
GMD,r-gmd,gmd
SUBREAD,subread,subread
BIOCONDUCTOR-BIOMFORMAT,bioconductor-biomformat,biomformat
BIOCONDUCTOR-NTW,bioconductor-ntw,ntw
COMMET,commet,commet
BEDGRAPHTOBIGWIG,ucsc-bedgraphtobigwig,bedgraphtobigwig
BIOCONDUCTOR-DIFFBIND,bioconductor-diffbind,diffbind
BIOCONDUCTOR-MASSSPECWAVELET,bioconductor-massspecwavelet,massspecwavelet
BIOCONDUCTOR-SMAP,bioconductor-smap,smap
BIOCONDUCTOR-CHIPQC,bioconductor-chipqc,chipqc
BIOCONDUCTOR-CAMERA,bioconductor-camera,camera
CEAS,ceas,ceas
BIOCONDUCTOR-BGEEDB,bioconductor-bgeedb,bgeedb
BIOCONDUCTOR-PAIRCOMPVIZ,bioconductor-paircompviz,paircompviz
NLSTRADAMUS,nlstradamus,NLStradamus
XTANDEM,xtandem,xtandem
BREAKDANCER,breakdancer,breakdancer
BIOCONDUCTOR-UNIPROT.WS,bioconductor-uniprot.ws,uniprot.ws
BIOCONDUCTOR-AFFYCOMP,bioconductor-affycomp,affycomp
BIOCONDUCTOR-GLOBALTEST,bioconductor-globaltest,globaltest
RIBOTAPER,ribotaper,ribotaper
METFRAG,metfrag,metfrag
FLEXBAR,flexbar,flexbar
TRIPAL,python-tripal,tripal
BIOCONDUCTOR-SAGENHAFT,bioconductor-sagenhaft,sagenhaft
IGDISCOVER,igdiscover,igdiscover
BIOCONDUCTOR-CAUSALR,bioconductor-causalr,causalr
PRANK,prank,prank
BIOCONDUCTOR-SUBSEQ,bioconductor-subseq,subseq
BIOCONDUCTOR-SPLINTER,bioconductor-splinter,splinter
STAMP,stamp,stamp
SEQ2HLA,seq2hla,seq2hla
BIOCONDUCTOR-METASEQ,bioconductor-metaseq,metaseq
PIRANHA,piranha,piranha
ATAC,atac,atac
RSEQC,rseqc,rseqc
BIOCONDUCTOR-RBM,bioconductor-rbm,rbm
BIOCONDUCTOR-PHYLOSEQ,bioconductor-phyloseq,phyloseq
BIOCONDUCTOR-SWITCHDE,bioconductor-switchde,switchde
BIOCONDUCTOR-CGHBASE,bioconductor-cghbase,cghbase
BIOCONDUCTOR-ILLUMINAIO,bioconductor-illuminaio,illuminaio
BIOCONDUCTOR-ANNOTATIONFUNCS,bioconductor-annotationfuncs,annotationfuncs
BIOCONDUCTOR-PROPER,bioconductor-proper,proper
BIOCONDUCTOR-PKGDEPTOOLS,bioconductor-pkgdeptools,pkgdeptools
BIOCONDUCTOR-SSIZE,bioconductor-ssize,ssize
BIOCONDUCTOR-SANGERSEQR,bioconductor-sangerseqr,sangerseqr
BIOCONDUCTOR-TRIFORM,bioconductor-triform,triform
BIOPYTHON,biopython,biopython
GFFUTILS,gffutils,GFFutils
AMOS,amos,amos
BIOCONDUCTOR-RAMA,bioconductor-rama,rama
FUSION,star-fusion,Fusion
BIOCONDUCTOR-PATHNET,bioconductor-pathnet,pathnet
BIOCONDUCTOR-GAGE,bioconductor-gage,gage
BIOCONDUCTOR-VBMP,bioconductor-vbmp,vbmp
BIOCONDUCTOR-NUDGE,bioconductor-nudge,nudge
OPENMS,openms,openms
BIOCONDUCTOR-OLIN,bioconductor-olin,olin
IGVTOOLS,igvtools,IGVtools
PASH,pash,pash
ANTISMASH,antismash,antismash
BAMTOOLS,bamtools,bamtools
TAP,perl-tap-harness-env,tap
SAMTOOLS,samtools,samtools
BIOCONDUCTOR-CELLMAPPER,bioconductor-cellmapper,cellmapper
SNPSIFT,snpsift,SnpSift
TXIMPORT,r-tximport,tximport
BIOCONDUCTOR-CUMMERBUND,bioconductor-cummerbund,cummerbund
PYTEOMICS,pyteomics,pyteomics
SOAP,perl-soap-lite,soap
PRINSEQ,prinseq,prinseq
BIOCONDUCTOR-GCRMA,bioconductor-gcrma,gcrma
GFFCOMPARE,gffcompare,gffcompare
BIOCONDUCTOR-TRIPLEX,bioconductor-triplex,triplex
ANGSD,angsd,angsd
BIOCONDUCTOR-MADE4,bioconductor-made4,made4
BIOCONDUCTOR-PREPROCESSCORE,bioconductor-preprocesscore,preprocesscore
BIOCONDUCTOR-SIGHTS,bioconductor-sights,sights
BIOCONDUCTOR-MULCOM,bioconductor-mulcom,mulcom
BIOCONDUCTOR-EBARRAYS,bioconductor-ebarrays,ebarrays
BIOCONDUCTOR-SWATHXTEND,bioconductor-swathxtend,swathxtend
BIOCONDUCTOR-MOTIFBREAKR,bioconductor-motifbreakr,motifbreakr
ILLUMINATE,illuminate,illuminate
SNOW,r-snow,snow
XXMOTIF,xxmotif,xxmotif
BIOCONDUCTOR-QUANTRO,bioconductor-quantro,quantro
BIOCONDUCTOR-GRAPH,bioconductor-graph,graph
BIOCONDUCTOR-BISEQ,bioconductor-biseq,biseq
FASTOOL,fastool,Fastool
SCOPE,perl-scope-guard,scope
BIOCONDUCTOR-NPGSEA,bioconductor-npgsea,npgsea
BASE,perl-base,base
BIOCONDUCTOR-MGFR,bioconductor-mgfr,mgfr
HISAT2,hisat2,HISAT2
BIOCONDUCTOR-GOTHIC,bioconductor-gothic,gothic
SCOARY,scoary,Scoary
STRUCTURE,structure,Structure
SEGWAY,segway,segway
BIOCONDUCTOR-PAPI,bioconductor-papi,papi
BIOCONDUCTOR-MGSA,bioconductor-mgsa,mgsa
BIOCONDUCTOR-RINGO,bioconductor-ringo,ringo
STAR,star,star
BIOCONDUCTOR-EBSEQ,bioconductor-ebseq,ebseq
BOWTIE,bowtie,bowtie
BIOCONDUCTOR-SEPA,bioconductor-sepa,sepa
BIOCONDUCTOR-SEQPATTERN,bioconductor-seqpattern,seqpattern
PROTEOWIZARD,proteowizard,proteowizard
SALAD,schema-salad,salad
BIOCONDUCTOR-SIGNER,bioconductor-signer,signer
RECON,recon,recon
BIOCONDUCTOR-RRDP,bioconductor-rrdp,rrdp
BIOCONDUCTOR-BIOCPARALLEL,bioconductor-biocparallel,biocparallel
BIOCONDUCTOR-SEQLOGO,bioconductor-seqlogo,seqlogo
BIOCONDUCTOR-GENOMICRANGES,bioconductor-genomicranges,genomicranges
FREEBAYES,freebayes,freebayes
PEAKRANGER,peakranger,peakranger
CRAMTOOLS,cramtools,CRAMTools
SNPEFF,snpeff,snpeff
BIOCONDUCTOR-MIPP,bioconductor-mipp,mipp
BIOCONDUCTOR-BICARE,bioconductor-bicare,bicare
SOAPSPLICE,soapsplice,SOAPsplice
BIOCONDUCTOR-RGSEA,bioconductor-rgsea,rgsea
BIOCONDUCTOR-REGIONER,bioconductor-regioner,regioner
KOBAS,kobas,kobas
NASTISEQ,r-nastiseq,nastiseq
OASES,oases,oases
BIOCONDUCTOR-PROFIA,bioconductor-profia,profia
BIOCONDUCTOR-DEEPSNV,bioconductor-deepsnv,deepsnv
GROMACS,gromacs,gromacs
GENOMEDATA,genomedata,genomedata
HICUP,hicup,hicup
CARNA,carna,carna
FASTME,fastme,fastme
BIOCONDUCTOR-FLOWDENSITY,bioconductor-flowdensity,flowdensity
DIAMOND,diamond,Diamond
DBCHIP,r-dbchip,dbchip
BIOCONDUCTOR-ABSSEQ,bioconductor-absseq,absseq
BWA,bwa,bwa
BIOCONDUCTOR-SEQGSEA,bioconductor-seqgsea,seqgsea
BIOCONDUCTOR-R3CSEQ,bioconductor-r3cseq,r3cseq
GRIDSS,gridss,gridss
ERNE,erne,erne
PYMZML,pymzml,pymzml
PLINK,plink,PLINK
BIOCONDUCTOR-PARODY,bioconductor-parody,parody
BIOCONDUCTOR-PLW,bioconductor-plw,plw
BIOCONDUCTOR-TEQC,bioconductor-teqc,teqc
BIOCONDUCTOR-ACGH,bioconductor-acgh,acgh
BIOCONDUCTOR-PANP,bioconductor-panp,panp
VARIANT,platypus-variant,variant
BIOCONDUCTOR-MOTIFDB,bioconductor-motifdb,motifdb
EQTLBMA,eqtlbma,eQtlBma
BIOCONDUCTOR-RNASEQPOWER,bioconductor-rnaseqpower,rnaseqpower
BIOCONDUCTOR-ACDE,bioconductor-acde,acde
TAKEABREAK,takeabreak,takeabreak
BIOCONDUCTOR-SSVIZ,bioconductor-ssviz,ssviz
BIOCONDUCTOR-MANTA,bioconductor-manta,manta
BIOCONDUCTOR-RIPSEEKER,bioconductor-ripseeker,ripseeker
BIOCONDUCTOR-DEGREPORT,bioconductor-degreport,degreport
BIOCONDUCTOR-PEPXMLTAB,bioconductor-pepxmltab,pepxmltab
BIOCONDUCTOR-TSPAIR,bioconductor-tspair,tspair
BIOCONDUCTOR-POLYFIT,bioconductor-polyfit,polyfit
BIOCONDUCTOR-MPFE,bioconductor-mpfe,mpfe
BLAT,blat,blat
MOTUS,motus,motus
BIOCONDUCTOR-BUMPHUNTER,bioconductor-bumphunter,bumphunter
BIOCONDUCTOR-METHTARGETEDNGS,bioconductor-methtargetedngs,methtargetedngs
BIOCONDUCTOR-IMPUTE,bioconductor-impute,impute
SELSCAN,selscan,selscan
EXPARNA,exparna,exparna
BIOCONDUCTOR-STRINGDB,bioconductor-stringdb,stringdb
BIOCONDUCTOR-MULTTEST,bioconductor-multtest,multtest
FASTQC,fastqc,fastqc
BIOCONDUCTOR-MGFM,bioconductor-mgfm,mgfm
BIOCONDUCTOR-SIMBINDPROFILES,bioconductor-simbindprofiles,simbindprofiles
BIOCONDUCTOR-BIOBASE,bioconductor-biobase,biobase
BIOCONDUCTOR-SISPA,bioconductor-sispa,sispa
BIOCONDUCTOR-MICHIP,bioconductor-michip,michip
DSRC,dsrc,dsrc
GAT,gat,gat
BIOCONDUCTOR-NNNORM,bioconductor-nnnorm,nnnorm
LAST,last,last
BIOCONDUCTOR-SUSHI,bioconductor-sushi,sushi
BIOCONDUCTOR-BASIC4CSEQ,bioconductor-basic4cseq,basic4cseq
BIOCONDUCTOR-RMAT,bioconductor-rmat,rmat
BEAST,beast,beast
CLARK,clark,clark
BIOCONDUCTOR-GOSEQ,bioconductor-goseq,goseq
BIOCONDUCTOR-GSVA,bioconductor-gsva,gsva
BIOCONDUCTOR-OSCOPE,bioconductor-oscope,oscope
BIOCONDUCTOR-SIGGENES,bioconductor-siggenes,siggenes
BIOCONDUCTOR-RPA,bioconductor-rpa,rpa
BIOCONDUCTOR-RNITS,bioconductor-rnits,rnits
BIOCONDUCTOR-TRIO,bioconductor-trio,trio
BIOCONDUCTOR-BIOCVIEWS,bioconductor-biocviews,biocviews
BIOCONDUCTOR-CNTOOLS,bioconductor-cntools,cntools
BIOCONDUCTOR-PATH2PPI,bioconductor-path2ppi,path2ppi
BIOCONDUCTOR-S4VECTORS,bioconductor-s4vectors,s4vectors
QUAKE,quake,quake
BIOCONDUCTOR-GENOMICALIGNMENTS,bioconductor-genomicalignments,genomicalignments
BIOCONDUCTOR-MERGEMAID,bioconductor-mergemaid,mergemaid
WHAM,wham,wham
VERIFYBAMID,verifybamid,verifybamid
LIMIX,limix,limix
SMALT,smalt,Smalt
BIOCONDUCTOR-WEAVER,bioconductor-weaver,weaver
BIOCONDUCTOR-ASGSCA,bioconductor-asgsca,asgsca
BIOCONDUCTOR-DEXSEQ,bioconductor-dexseq,dexseq
REPEATMODELER,repeatmodeler,RepeatModeler
BIOCONDUCTOR-SCAN.UPC,bioconductor-scan.upc,scan.upc
WGCNA,r-wgcna,wgcna
BIOCONDUCTOR-MIRAGE,bioconductor-mirage,mirage
BIOCONDUCTOR-CNER,bioconductor-cner,cner
BIOCONDUCTOR-CASPER,bioconductor-casper,casper
IMPUTE2,impute2,IMPUTE2
ADAM,adam,ADAM
BIOCONDUCTOR-MULTIDATASET,bioconductor-multidataset,multidataset
BIOCONDUCTOR-OUTLIERD,bioconductor-outlierd,outlierd
BRACKEN,bracken,Bracken
CIRCOS,circos,circos
SPP,r-spp,spp
BIOCONDUCTOR-ANNOTATIONTOOLS,bioconductor-annotationtools,annotationtools
IDBA,idba,idba
IBDSEQ,ibdseq,IBDseq
BIOCONDUCTOR-NUCLEOSIM,bioconductor-nucleosim,nucleosim
RMAP,rmap,rmap
BIOCONDUCTOR-TSSI,bioconductor-tssi,tssi
TRF,trf,Trf
BIOCONDUCTOR-SPECOND,bioconductor-specond,specond
HIT,cd-hit,hit
BIOCONDUCTOR-GVIZ,bioconductor-gviz,gviz
BIOCONDUCTOR-TSCAN,bioconductor-tscan,tscan
MLST,mlst,mlst
INTERVENE,intervene,Intervene
BIOCONDUCTOR-PROMISE,bioconductor-promise,promise
BAMUTIL,bamutil,Bamutil
SPADES,spades,Spades
BIOCONDUCTOR-PCAEXPLORER,bioconductor-pcaexplorer,pcaexplorer
MSMS,msms,msms
BIOCONDUCTOR-STEPNORM,bioconductor-stepnorm,stepnorm
BIOCONDUCTOR-IPO,bioconductor-ipo,ipo
EMBOSS,emboss,EMBOSS
VEP,ensembl-vep,vep
HTSEQ,htseq,htseq
BIOCONDUCTOR-SHORTREAD,bioconductor-shortread,shortread
BIOCONDUCTOR-MLP,bioconductor-mlp,mlp
DBD,perl-dbd-mysql,dbd
BIOCONDUCTOR-AFFYPDNN,bioconductor-affypdnn,affypdnn
BIOCONDUCTOR-MVGST,bioconductor-mvgst,mvgst
BIOCONDUCTOR-OTUBASE,bioconductor-otubase,otubase
BIOCONDUCTOR-RGRAPH2JS,bioconductor-rgraph2js,rgraph2js
BIOCONDUCTOR-SSEQ,bioconductor-sseq,sseq
BIOCONDUCTOR-METACCA,bioconductor-metacca,metacca
VCFTOOLS,perl-vcftools-vcf,vcftools
FF,r-ff,ff
BIOCONDUCTOR-VSN,bioconductor-vsn,vsn
MS,ms,ms
SEQTK,seqtk,seqtk
SFF2FASTQ,sff2fastq,sff2fastq
BIOCONDUCTOR-SIZEPOWER,bioconductor-sizepower,sizepower
BIOCONDUCTOR-RIMMPORT,bioconductor-rimmport,rimmport
BIOCONDUCTOR-GSEABASE,bioconductor-gseabase,gseabase
BIOCONDUCTOR-ENSEMBLDB,bioconductor-ensembldb,ensembldb
R2R,r2r,r2r
BIOCONDUCTOR-CGHMCR,bioconductor-cghmcr,cghmcr
PARALYZER,paralyzer,paralyzer
